ID,English,Maltese
1,1986 NINTENDO
2,PUSH START BUTTON
3,THE LEGEND OF ZELDA
4,"MANY YEARS AGO PRINCE DARKNESS "GANNON" STOLE ONE OF THE TRIFORCE WITH POWER. PRINCESS ZELDA HAD ONE OF THE TRIFORCE WITH WISDOM. SHE DIVIDED IT INTO 8 UNITS TO HIDE IT FROM "GANNON" BEFORE SHE WAS CAPTURED. GO FIND THE "8" UNITS "LINK" TO SAVE HER."
5,ALL OF TREASURES
6,HEART CONTAINER
7,HEART,QALB
8,FAIRY,
9,CLOCK,ARLOĠĠ
10,RUPY
11,5 RUPIES
12,SWORD,XABLA
13,WHITE SWORD,XABLA BAJDA
14,MAGICAL SWORD,XABLA MAĠIKU
15,MAGICAL SHIELD,TARKA MAĠIKU
16,BOOMERANG
17,MAGICAL BOOMERANG,BOOMERANG MAĠIKU
18,BOMB,BOMBA
19,BOW,QAWS
20,ARROW,VLEĠĠA
21,SILVER ARROW,VLEĠĠA FIDDIJA
22,BLUE CANDLE,XEMGĦA KAĦLA
23,RED CANDLE,XEMGĦA ĦAMRA
24,BLUE RING,ĊURKETT IKĦAL
25,RED RING,ĊURKETT AĦMAR
26,POWER BRACELET
27,RECORDER,RIKORDER
28,RAFT,ĊATTRA
29,STEPLADDER,SELLUM
30,MAGICAL ROD
31,BOOK OF MAGIC,KTIEB TA MAĠIKU
32,KEY,ĊAVETTA
33,MAGICAL KEY,ĊAVETTA MAĠIKU
34,MAP,MAPPA
35,COMPASS,BOXXLA
36,TRIFORCE
37,LIFE POTION, POZZJONI TA ĦAJJA 
38,2ND POTION,IT-TIENI POZZJONI 
39,LETTER,ITTRA
40,FOOD,IKEL
41,IT'S DANGEROUS TO GO ALONE! TAKE THIS
42,MASTER USING IT AND YOU CAN HAVE THIS
43,TAKE ANY ROAD YOU WANT
44,SECRET IS IN THE TREE AT THE DEAD-END
45,LET'S PLAY MONEY MAKING GAME
46,PAY ME FOR THE DOOR REPAIR CHARGE
47,SHOW THIS TO THE OLD WOMAN
48,MEET THE OLD MAN AT THE GRAVE
49,BUY MEDICINE BEFORE YOU GO
50,PAY ME AND I'LL TALK
51,THIS AIN'T ENOUGH TO TALK
52,"GO UP,UP, THE MOUNTAIN AHEAD"
53,"GO NORTH,WEST,SOUTH, WEST TO THE FOREST OF MAZE"
54,"BOY, YOU'RE RICH"
55,BUY SOMETHIN' WILL YA
56,BOY, THIS IS REALLY EXPENSIVE!
57,TAKE ANY ONE YOU WANT
58,IT'S A SECRET TO EVERYBODY
59,GRUMBLE,GRUMBLE..
60,EASTMOST PENNINSULA IS THE SECRET
61,DODONGO DISLIKES SMOKE
62,DID YOU GET THE SWORD FROM THE OLD MAN ?
63,TOP OF THE WATERFALL
64,WALK INTO THE WATERFALL
65,SECRET POWER IS SAID TO BE IN THE ARROW
66,DIGDOGGER HATES CERTAIN KIND OF SOUND
67,I BET YOU'D LIKE TO HAVE MORE BOMBS
68,IF YOU GO IN THE DIRECTION OF THE ARROW
69,LEAVE YOUR LIFE OR MONEY
70,THERE ARE SECRETS WHERE FAIRIES DON'T LIVE
71,AIM AT THE EYES OF GOHMA
72,SOUTH OF ARROW MARK HIDES A SECRET
73,THERE'S A SECRET IN THE TIP OF THE NOSE
74,SPECTACLE ROCK IS AN ENTRANCE TO DEATH
75,10TH ENEMY HAS THE BOMB
76,ONES WHO DOES NOT HAVE TRIFORCE CAN'T GO IN
77,PATRA HAS THE MAP
78,GO TO THE NEXT ROOM
79,EYES OF SKULL HAS A SECRET
80,THANKS LINK, YOU'RE THE HERO OF HYRULE
81,FINALLY, PEACE RETURNS TO HYRULE.THIS ENDS THE STORY.
82,STAFF,GĦASLUĠ
83,EXECUTIVE PRODUCER H YAMAUCHIM
84,PRODUCER S MIYAHONM
85,DIRECTOR S MIYAHONED TEN TEN
86,DESIGNER TEN TEN
87,PROGRAMMER T NAKAZOO F YACHANC F MARUMARU
88,SOUND COMPOSER KONCHANO
89,ANOTHER QUEST WILL START FROM HERE. PRESS THE START BUTTON.
90,1986 NINTENDO
91,YOU ARE GREAT YOU HAVE AN AMAZING WISDOM AND POWER END OF "THE LEGEND OF ZELDA 1" 1986 NINTENDO
